d1, ax, ay, az, axL, azL, ts
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.32600
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 93.34179
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.35660
0.00000, 272.00000, 326.00000, 328.00000, 320.00000, 411.00000, 93.37154
0.00000, 272.00000, 325.00000, 327.00000, 320.00000, 411.00000, 93.38845
0.00000, 271.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.40316
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.41807
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 93.43541
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 93.44958
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 412.00000, 93.46390
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 411.00000, 93.47987
0.00000, 273.00000, 325.00000, 328.00000, 321.00000, 410.00000, 93.49506
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 410.00000, 93.50907
0.00000, 273.00000, 325.00000, 327.00000, 321.00000, 410.00000, 93.52464
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 412.00000, 93.53971
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.55325
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.56921
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 410.00000, 93.58638
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.60057
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.61242
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.62361
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.63892
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.65170
0.00000, 272.00000, 326.00000, 329.00000, 321.00000, 411.00000, 93.66740
0.00000, 271.00000, 325.00000, 327.00000, 321.00000, 411.00000, 93.68279
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 93.69650
0.00000, 273.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.70958
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.72375
0.00000, 272.00000, 325.00000, 328.00000, 322.00000, 411.00000, 93.73851
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.75150
0.00000, 272.00000, 326.00000, 329.00000, 322.00000, 411.00000, 93.76518
0.00000, 271.00000, 325.00000, 328.00000, 321.00000, 412.00000, 93.77824
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.79175
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.80668
0.00000, 271.00000, 326.00000, 327.00000, 322.00000, 411.00000, 93.81764
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.82951
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 93.84473
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 93.85904
